mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,2144,542,180,898,4915,1426,1221,976,184,213,80,92,1475,169
Jul 2023,2134,447,211,817,5069,1383,1230,1059,192,229,120,77,1362,216
Jun 2023,2341,472,180,833,5261,1228,1264,1102,208,190,99,91,1455,226
May 2023,2327,472,176,795,5250,1136,1320,969,194,186,73,100,1654,210
Apr 2023,2177,470,158,777,4660,1159,1261,994,197,138,64,88,1433,157
Mar 2023,1872,531,136,886,4895,1110,1093,997,206,190,56,71,1485,221
Feb 2023,1713,564,160,798,4463,1052,1215,892,157,190,99,72,1391,170
Jan 2023,1511,603,124,710,4737,992,1047,875,211,149,70,60,1239,238
Dec 2022,1324,458,116,616,4243,751,996,950,169,149,66,73,1259,177
Nov 2022,1745,527,137,807,4626,925,1079,1003,190,238,77,88,1403,174
Oct 2022,2074,549,175,869,4989,854,1191,1001,231,322,67,72,1622,193
Sep 2022,2065,490,143,809,4744,984,1115,996,164,295,77,74,1629,207
