mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1080,184,44,471,1542,252,392,398,170,37,46,63,332,84
Jul 2023,1066,181,42,373,1623,226,375,394,170,60,50,68,355,90
Jun 2023,1097,185,37,381,1633,305,400,362,156,46,44,58,390,92
May 2023,1054,156,45,370,1642,254,372,373,133,54,40,53,421,103
Apr 2023,781,156,34,366,1512,287,323,351,144,30,39,54,364,81
Mar 2023,709,182,53,401,1586,299,348,386,142,32,55,51,373,110
Feb 2023,723,196,52,331,1453,273,288,337,149,42,38,51,323,83
Jan 2023,678,235,38,395,1550,202,305,374,158,52,44,49,309,92
Dec 2022,640,186,41,387,1366,178,289,374,138,57,28,58,324,75
Nov 2022,744,197,34,448,1511,184,295,455,136,79,35,56,398,87
Oct 2022,871,198,59,516,1610,262,409,385,138,63,51,49,428,84
Sep 2022,910,177,38,413,1497,267,321,433,149,67,29,43,445,89
