mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1143,276,56,458,2353,457,617,489,153,184,96,73,558,127
Jul 2023,1058,313,50,440,2371,487,627,514,166,181,78,80,597,142
Jun 2023,1122,261,61,345,2456,458,681,539,138,204,78,102,653,176
May 2023,1108,248,48,366,2429,478,630,487,123,154,53,58,658,141
Apr 2023,981,275,56,301,2341,511,562,504,149,190,77,72,694,137
Mar 2023,768,293,45,453,2475,496,606,531,123,190,69,80,611,186
Feb 2023,765,308,52,464,2225,415,572,529,135,168,66,62,575,137
Jan 2023,768,342,60,483,2327,446,548,549,132,165,71,58,589,189
Dec 2022,768,254,39,460,2146,305,505,498,135,119,62,41,489,123
Nov 2022,944,342,41,512,2322,472,570,582,151,156,63,68,657,167
Oct 2022,950,354,48,401,2494,482,548,544,194,218,54,68,680,137
Sep 2022,942,289,61,416,2278,366,554,519,190,198,49,70,650,137
