mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1175,247,30,209,2518,461,465,417,231,68,37,74,578,108
Jul 2023,1081,241,37,171,2802,423,451,423,211,56,18,61,533,120
Jun 2023,1224,213,23,208,3008,380,534,442,198,95,17,70,732,134
May 2023,1270,222,26,195,3016,448,520,401,218,80,25,61,699,126
Apr 2023,1196,257,33,181,3027,495,580,451,231,79,24,54,872,125
Mar 2023,1028,250,30,195,3061,504,525,448,234,72,26,62,842,161
Feb 2023,1106,215,28,206,2785,467,571,404,186,84,24,58,832,156
Jan 2023,866,252,28,210,2864,388,519,409,203,76,23,52,761,130
Dec 2022,695,244,26,172,2664,290,451,462,175,58,32,52,672,109
Nov 2022,891,255,24,216,3247,348,503,490,135,58,38,48,888,128
Oct 2022,1142,250,27,216,3234,388,608,466,145,84,21,69,1023,143
Sep 2022,1095,232,31,217,3174,345,510,484,126,83,31,40,955,114
