mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,5,35,11,18,127,102,27,182,54,27,101,8,59,9
Jul 2023,18,24,9,6,143,79,36,168,47,17,94,12,59,14
Jun 2023,26,36,14,11,150,63,19,205,45,25,105,7,42,11
May 2023,46,28,14,16,113,54,22,214,51,26,134,5,39,12
Apr 2023,37,33,17,12,126,70,23,147,52,17,122,4,55,23
Mar 2023,38,25,11,16,142,61,23,151,54,15,117,4,35,17
Feb 2023,88,21,15,14,117,70,22,165,64,11,109,6,54,27
Jan 2023,56,22,13,25,110,64,22,159,63,6,94,8,60,17
Dec 2022,62,35,9,9,115,35,23,207,47,12,110,10,45,16
Nov 2022,93,30,19,8,115,50,10,174,47,17,117,1,48,19
Oct 2022,124,18,7,5,115,84,30,188,34,17,105,5,38,16
Sep 2022,89,19,10,7,107,64,29,154,36,16,103,5,31,29
