mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1722,450,65,385,2572,645,881,461,215,56,23,55,584,185
Jul 2023,1696,415,83,380,2726,613,886,494,204,83,28,65,692,191
Jun 2023,1834,441,83,345,2916,507,803,491,202,56,34,69,732,206
May 2023,1639,407,67,354,3054,596,830,435,239,63,65,72,743,200
Apr 2023,1700,438,85,440,2754,722,868,487,175,42,56,58,727,155
Mar 2023,1559,488,70,391,2822,774,894,446,175,72,42,58,733,202
Feb 2023,1402,383,78,365,2665,709,793,414,189,69,41,54,726,181
Jan 2023,1161,416,71,359,2749,592,770,383,217,40,43,64,635,163
Dec 2022,886,388,77,328,2506,570,882,459,209,37,32,55,727,159
Nov 2022,1199,385,83,326,2865,511,906,427,239,51,39,44,781,156
Oct 2022,1564,540,83,388,3080,622,966,495,229,71,63,68,839,202
Sep 2022,1308,425,95,352,2858,712,910,503,175,72,60,78,907,168
