mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1998,315,60,413,3503,718,725,700,185,71,88,61,997,158
Jul 2023,1934,372,72,407,3631,626,788,660,225,71,78,127,991,170
Jun 2023,1994,297,68,361,4042,549,717,673,192,72,46,92,1113,207
May 2023,2075,372,64,396,4017,507,862,694,213,70,65,98,1119,192
Apr 2023,1856,385,69,517,3775,530,846,632,186,48,46,79,1012,170
Mar 2023,1649,384,58,481,3831,536,736,703,211,49,60,104,982,198
Feb 2023,1531,374,74,438,3458,512,738,601,209,42,52,56,890,181
Jan 2023,1280,408,62,417,3563,463,691,625,203,38,54,70,845,165
Dec 2022,1211,317,62,373,3332,362,665,522,192,33,52,65,668,154
Nov 2022,1460,374,77,384,3587,401,654,586,211,40,56,73,799,221
Oct 2022,1793,374,93,473,3364,351,741,607,183,76,42,77,862,169
Sep 2022,1722,299,62,413,3364,352,690,549,174,55,49,88,799,165
