mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1578,238,29,281,1763,394,403,366,54,92,40,25,312,41
Jul 2023,1525,216,36,307,1836,374,431,393,88,83,55,29,354,31
Jun 2023,1501,217,52,323,1931,383,499,464,70,93,40,30,347,51
May 2023,1416,192,36,264,1827,325,444,372,55,45,30,30,331,42
Apr 2023,1313,159,45,242,1729,373,412,359,62,40,27,30,381,30
Mar 2023,1146,230,31,266,1835,426,501,395,51,52,33,29,342,40
Feb 2023,1176,189,35,276,1645,348,406,330,51,32,29,24,265,35
Jan 2023,966,240,31,361,1710,287,424,339,75,37,24,29,292,36
Dec 2022,837,234,16,318,1421,207,393,321,44,30,37,15,198,41
Nov 2022,1148,255,24,371,1666,240,427,382,82,30,35,28,264,26
Oct 2022,1391,261,32,421,1638,295,476,377,80,83,35,25,310,34
Sep 2022,1349,188,36,385,1576,231,436,340,65,80,27,18,265,41
