mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1160,277,30,281,2347,621,813,377,116,43,17,33,439,158
Jul 2023,1053,299,16,271,2406,713,806,375,110,46,18,35,432,161
Jun 2023,1237,267,12,201,2508,655,750,395,109,43,29,33,511,173
May 2023,1121,270,16,223,2622,628,876,372,144,33,28,50,640,159
Apr 2023,946,241,22,210,2554,589,846,335,127,38,23,42,802,149
Mar 2023,721,255,23,188,2701,550,800,376,162,30,17,43,735,189
Feb 2023,637,278,16,201,2331,481,795,324,118,33,25,35,709,176
Jan 2023,553,288,15,277,2486,421,832,313,118,29,17,32,683,176
Dec 2022,391,224,22,196,2318,366,689,318,126,28,24,34,667,125
Nov 2022,758,246,16,217,2336,386,774,339,123,31,14,40,604,157
Oct 2022,1215,256,24,231,2519,409,836,333,140,44,26,49,592,153
Sep 2022,1118,255,10,214,2296,343,724,335,134,24,22,38,607,123
