mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,526,112,6,56,1715,195,366,256,149,11,32,24,356,71
Jul 2023,603,105,10,54,1572,206,397,242,133,14,32,10,385,52
May 2023,581,35,2,15,818,44,133,101,79,2,8,16,147,45
Apr 2023,453,123,4,62,1834,150,392,231,175,10,25,31,466,61
Mar 2023,380,94,11,44,1972,172,306,218,236,7,14,35,487,70
Feb 2023,414,96,9,43,1789,138,311,191,160,8,10,19,423,65
Jan 2023,429,99,6,45,1848,142,295,238,187,5,9,23,406,75
Dec 2022,332,100,2,40,1789,141,295,195,161,2,16,9,390,60
Nov 2022,322,122,3,52,1903,143,381,210,184,16,17,23,457,65
Oct 2022,404,106,9,70,2166,176,389,246,224,9,8,37,550,91
Sep 2022,445,84,5,78,2042,153,377,251,194,17,8,33,578,73
Aug 2022,701,134,11,51,2337,152,495,261,191,12,29,33,658,71
