mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1541,599,141,1095,5615,1076,1206,1175,416,133,103,154,1126,259
Jul 2023,1654,557,111,1152,5840,969,1228,1195,435,148,97,169,1210,279
Jun 2023,1474,595,142,1074,5623,889,1219,1203,483,134,110,143,1115,306
May 2023,1444,590,158,1216,5765,925,1260,1172,482,108,112,158,1046,264
Apr 2023,1218,549,147,1193,5833,985,1207,1041,473,126,91,177,1225,293
Mar 2023,1009,655,127,1255,6130,1020,1157,1104,442,115,105,140,1305,332
Feb 2023,999,702,111,1125,5473,822,1020,958,413,78,63,141,1102,278
Jan 2023,896,610,119,1396,5562,998,1102,1052,466,111,99,150,1067,307
Dec 2022,1076,524,112,1140,5430,716,930,1072,489,79,113,121,1081,256
Nov 2022,1515,572,93,1236,5900,729,1180,1113,467,135,93,134,1229,286
Oct 2022,1793,539,164,1231,6309,826,1265,1136,408,183,103,154,1384,259
Sep 2022,1803,556,120,1150,6092,843,1141,1121,402,167,99,142,1488,278
