mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,896,278,40,274,2004,379,352,416,86,65,17,39,476,153
Jul 2023,950,308,43,260,2059,406,397,378,107,73,62,38,521,148
Jun 2023,1001,254,37,208,2275,317,403,357,93,64,21,31,530,171
May 2023,973,231,35,212,2167,348,409,383,100,55,18,40,514,153
Apr 2023,860,240,27,198,2102,302,381,363,95,51,31,41,592,151
Mar 2023,811,247,31,176,2289,285,367,411,113,66,53,30,551,151
Feb 2023,689,228,27,154,2010,318,409,334,96,62,21,31,510,145
Jan 2023,814,277,32,179,2101,280,372,348,92,50,24,17,410,164
Dec 2022,736,228,27,125,1925,214,328,324,73,62,21,31,420,104
Nov 2022,677,218,24,188,2197,260,385,363,77,67,28,19,527,114
Oct 2022,864,311,35,177,2573,286,391,382,97,75,30,28,645,112
Sep 2022,796,264,28,207,2422,241,407,390,97,82,27,21,691,105
