mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1260,66,35,331,1867,323,59,328,145,30,19,40,653,130
Jul 2023,1097,66,27,290,1953,287,52,347,147,32,19,40,587,176
Jun 2023,1225,90,19,273,2194,306,57,336,116,29,21,45,747,129
May 2023,1173,63,27,232,2311,289,49,316,115,22,33,44,842,148
Apr 2023,1109,61,22,229,2058,252,52,350,101,21,20,35,844,128
Mar 2023,854,132,23,229,2201,315,50,332,102,13,20,33,844,107
Feb 2023,986,116,36,171,2116,328,43,286,120,20,19,32,848,116
Jan 2023,783,148,31,172,1959,318,41,297,134,18,22,24,649,137
Dec 2022,607,138,29,199,1879,273,39,304,109,20,14,24,706,104
Nov 2022,753,119,22,217,2068,304,67,319,125,23,20,36,864,127
Oct 2022,870,141,30,216,2160,241,61,326,124,17,32,41,924,140
Sep 2022,906,149,30,170,2143,222,63,338,95,24,25,21,902,112
