mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1960,625,120,856,5605,1282,1165,1017,459,163,102,185,1451,165
Jul 2023,2006,570,91,763,6083,1317,1243,1042,442,164,92,192,1496,227
Jun 2023,1978,563,102,789,6392,1074,1231,1014,424,185,94,212,1544,233
May 2023,1831,363,126,693,6471,1081,1329,945,478,150,36,200,1747,206
Apr 2023,1592,647,98,857,5943,1156,1295,935,379,118,76,179,1588,224
Mar 2023,1477,587,126,845,6712,1052,1356,1058,452,125,91,205,1699,256
Feb 2023,1309,532,104,943,5673,1060,1255,950,403,143,93,171,1486,226
Jan 2023,1161,654,105,1031,6132,970,1116,917,421,125,93,122,1483,248
Dec 2022,927,586,100,907,5575,772,1091,1002,390,153,89,126,1351,202
Nov 2022,1323,934,92,996,6388,839,1322,1074,400,235,91,171,1548,213
Oct 2022,1883,752,111,1062,6742,862,1484,1013,416,294,111,203,1725,232
Sep 2022,1836,803,128,946,6582,751,1287,986,406,279,96,200,1738,228
