mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,2375,311,46,510,2085,818,611,762,209,97,68,64,315,113
Jul 2023,2377,265,56,552,2416,710,589,698,194,127,90,49,362,118
Jun 2023,2577,300,61,574,2569,731,661,723,172,108,75,59,378,137
May 2023,2359,294,62,558,2568,657,619,780,175,93,119,66,334,126
Apr 2023,2181,305,65,644,2339,726,603,732,177,68,75,64,358,157
Mar 2023,1982,330,61,671,2499,663,631,708,194,75,82,73,392,152
Feb 2023,1814,337,49,673,2323,659,614,724,169,71,92,68,361,108
Jan 2023,1776,388,46,713,2379,662,541,675,182,67,88,62,366,119
Dec 2022,1694,309,61,513,2424,513,570,770,134,40,100,36,279,109
Nov 2022,1695,330,70,773,2307,618,605,912,209,86,82,53,379,150
Oct 2022,2210,335,55,778,2510,611,744,737,168,115,100,60,382,129
Sep 2022,2149,293,49,710,2348,577,603,777,175,119,68,43,403,123
