mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,879,428,66,259,3501,656,802,642,100,104,33,54,894,194
Jul 2023,912,416,74,261,3561,673,813,591,91,112,40,63,973,213
Jun 2023,985,394,89,261,3586,622,850,554,125,172,19,66,922,216
May 2023,1013,439,59,304,3816,784,949,607,108,148,35,54,1176,262
Apr 2023,883,465,74,259,3656,752,955,560,109,116,30,63,1490,190
Mar 2023,784,521,62,282,3656,684,901,637,91,136,34,57,1229,211
Feb 2023,762,447,63,296,3271,697,935,498,69,143,31,59,1091,207
Jan 2023,686,443,69,295,3373,696,978,550,90,117,25,65,987,209
Dec 2022,574,465,46,254,2978,483,757,527,95,107,36,42,838,137
Nov 2022,730,495,57,319,3083,494,865,527,87,140,29,45,969,186
Oct 2022,1101,440,70,326,3050,625,946,650,89,204,50,39,949,175
Sep 2022,971,406,52,383,2810,509,854,561,91,192,33,43,1027,224
