mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,3037,539,98,702,6356,1396,1669,1266,474,117,105,134,981,436
Jul 2023,2937,568,120,831,6904,1456,1852,1334,490,126,96,184,1008,440
Jun 2023,2984,444,80,750,6817,1197,1662,1030,399,90,94,150,933,450
May 2023,2792,532,98,667,6790,1248,1660,1124,441,123,94,135,896,508
Apr 2023,2541,480,79,721,6415,1126,1619,1175,438,109,80,139,901,498
Mar 2023,1994,529,111,734,6533,1109,1516,1086,517,91,68,134,841,530
Feb 2023,1902,501,89,732,5806,1171,1408,1107,435,92,74,112,753,429
Jan 2023,1801,504,92,857,5786,1064,1468,1081,377,63,79,125,800,476
Dec 2022,1581,463,81,841,6235,974,1470,1217,546,63,85,111,861,448
Nov 2022,1678,550,104,824,6667,939,1657,1234,449,81,83,99,946,488
Oct 2022,2242,597,104,844,6521,1115,1486,1147,430,99,84,123,894,486
Sep 2022,2217,561,116,841,6802,1031,1529,1247,376,119,87,111,1043,494
