mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,4853,625,95,684,4886,838,1297,879,229,131,82,157,641,278
Jul 2023,4858,685,92,693,5124,1120,1422,1076,272,145,79,166,728,257
Jun 2023,4979,623,75,593,5185,790,1335,895,225,128,82,128,804,281
May 2023,4856,613,108,672,5208,773,1371,828,280,92,106,161,707,245
Apr 2023,4531,561,101,619,4790,889,1309,894,180,87,54,149,766,280
Mar 2023,4215,636,99,673,5091,960,1286,840,229,75,52,154,710,250
Feb 2023,3820,560,83,647,4523,795,1143,792,220,84,49,150,683,203
Jan 2023,3624,600,78,667,4826,791,1116,883,220,63,50,157,602,246
Dec 2022,3489,525,59,566,4438,529,1071,933,244,84,53,121,569,215
Nov 2022,4034,598,82,698,4838,657,1268,974,235,134,59,125,704,278
Oct 2022,4542,651,98,836,5018,695,1385,1010,241,137,91,117,743,269
Sep 2022,4662,612,87,588,5147,627,1276,864,188,127,111,148,833,268
