mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,855,362,67,562,3291,534,891,718,298,131,61,62,979,175
Jul 2023,760,347,60,568,3306,554,928,741,294,116,60,105,988,146
Jun 2023,727,378,70,577,3639,485,921,781,302,133,138,82,1054,207
May 2023,805,404,69,617,3595,449,940,771,308,111,71,97,1133,194
Apr 2023,763,417,67,596,3549,456,882,699,316,149,72,92,1071,203
Mar 2023,616,407,69,528,3662,486,860,791,273,118,68,70,1066,202
Feb 2023,588,394,69,425,3347,390,787,757,281,106,56,73,964,185
Jan 2023,471,439,51,555,3435,327,772,757,276,110,49,69,851,186
Dec 2022,410,465,57,637,3312,339,785,745,237,117,75,63,883,165
Nov 2022,489,511,77,597,3669,395,829,792,322,153,78,80,1221,244
Oct 2022,752,512,67,643,3559,329,850,840,213,191,52,77,1071,244
Sep 2022,772,417,72,533,3495,362,847,710,244,144,68,92,1176,212
