mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1110,292,32,199,2179,548,543,420,162,92,14,67,353,115
Jul 2023,1086,268,32,187,2142,532,475,390,120,84,17,59,376,149
May 2023,1076,192,16,132,1675,383,424,303,186,45,11,46,279,117
Mar 2023,814,253,37,185,2166,542,478,404,99,51,11,56,404,127
Feb 2023,866,250,39,184,1989,478,445,367,106,27,8,43,329,104
Jan 2023,764,294,25,201,1968,458,467,383,146,48,11,59,330,136
Dec 2022,628,269,35,212,2034,358,423,380,126,46,15,31,312,134
Nov 2022,776,280,20,253,2173,487,512,422,113,72,17,40,387,122
Oct 2022,947,328,39,258,2038,459,519,426,122,120,14,45,411,120
Sep 2022,991,285,30,184,2217,426,470,408,122,107,18,44,463,112
Aug 2022,1258,293,35,252,2363,437,670,433,107,127,20,42,519,97
Jul 2022,1292,256,22,213,2496,405,654,404,140,85,19,49,491,136
