mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1398,448,95,566,5410,699,1156,769,919,105,140,128,1654,254
Jul 2023,1421,493,120,507,5414,705,1103,855,998,129,111,115,1626,228
Jun 2023,1518,427,124,497,6161,616,1249,880,894,131,136,117,2004,271
May 2023,1692,431,104,472,6316,727,1273,849,893,116,168,137,2119,294
Apr 2023,1491,462,95,516,5672,711,1151,766,864,106,203,103,2129,249
Mar 2023,1105,486,130,568,5920,757,1250,827,1057,107,211,123,1970,347
Feb 2023,1085,478,96,624,5524,697,1252,803,857,113,209,84,2024,244
Jan 2023,928,615,109,677,5679,629,1179,799,1083,95,153,98,1793,310
Dec 2022,812,494,91,632,5433,516,1059,849,955,88,154,116,1738,249
Nov 2022,1041,492,93,673,6081,558,1434,1051,1019,120,230,113,2136,317
Oct 2022,1611,455,103,596,6119,597,1457,892,959,161,219,101,2395,253
Sep 2022,1251,483,92,519,6031,578,1279,962,938,160,181,90,2362,334
