mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,20616,4665,2401,8425,21613,5316,4862,10706,3369,1490,4958,433,4583,864
Jul 2023,21744,4513,2628,8463,23290,5231,5029,11710,3261,1623,5471,509,5076,870
Jun 2023,21945,4652,2845,8974,25685,5459,5365,12759,3469,1758,5810,513,5703,1010
May 2023,20203,4441,2682,8659,22596,4818,4937,11329,3034,1501,5598,426,4999,917
Apr 2023,17334,4185,2559,8084,20454,4555,4575,10255,2877,1171,5618,406,4620,854
Mar 2023,16391,4925,2697,9242,21708,4743,4705,11696,3188,1189,5875,459,5003,1012
Feb 2023,14526,4546,2710,8412,19402,3894,4182,10288,2947,1081,5577,369,4224,883
Jan 2023,14822,5143,2658,9350,20178,4063,4362,10851,3596,987,5570,441,4256,934
Dec 2022,14585,4604,2354,8261,19008,3160,4128,11866,2752,839,6131,292,3978,760
Nov 2022,15354,4880,2517,9841,20998,3254,4472,11816,3335,1453,6059,377,4672,896
Oct 2022,36524,4760,2729,10042,21369,3463,4684,11189,3282,1750,5659,418,4921,951
Sep 2022,17412,4541,2171,9443,20702,3202,4294,9894,2970,1673,3624,412,4637,853
