mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,948,168,21,130,2443,454,603,416,149,83,30,79,419,131
Jul 2023,999,147,30,125,2641,490,580,389,158,83,49,67,501,158
Jun 2023,1009,153,31,95,2583,457,586,418,183,72,34,81,510,132
May 2023,916,148,30,110,2479,410,586,377,161,80,42,83,547,155
Apr 2023,864,138,34,134,2611,354,642,427,162,48,41,69,521,149
Mar 2023,741,142,28,217,2730,445,596,434,173,62,30,73,542,171
Feb 2023,683,164,31,138,2367,345,557,382,127,61,32,66,507,143
Jan 2023,668,182,31,167,2642,303,531,393,124,52,31,63,494,156
Dec 2022,555,157,22,159,2346,260,478,372,132,57,27,64,404,148
Nov 2022,672,209,15,170,2692,316,600,442,184,98,25,80,505,161
Oct 2022,840,177,22,162,2784,364,620,505,190,97,51,79,605,184
Sep 2022,792,177,28,149,2869,291,588,408,140,92,32,56,676,221
