mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1379,153,15,101,2224,501,504,421,101,30,14,34,415,107
Jul 2023,1269,130,14,81,2144,463,496,392,88,38,8,41,363,95
Jun 2023,1331,163,14,119,2423,409,528,412,90,36,13,31,451,116
May 2023,1418,170,8,119,2446,423,576,393,87,32,10,38,438,106
Apr 2023,1314,145,10,87,2293,392,575,381,102,23,14,30,429,87
Mar 2023,1200,153,8,100,2464,395,519,353,122,12,12,37,496,135
Feb 2023,1166,163,17,71,2417,410,551,321,118,11,8,37,550,81
Jan 2023,1050,159,10,95,2379,320,550,339,109,13,6,33,491,77
Dec 2022,842,126,6,73,2308,244,431,351,87,14,3,27,431,81
Nov 2022,1061,142,19,94,2322,359,511,350,98,18,11,34,561,101
Oct 2022,1297,180,17,80,2705,407,599,387,119,26,9,54,590,112
Sep 2022,1285,160,9,100,2622,354,526,384,102,33,22,25,648,107
