mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1547,217,19,220,1802,421,480,360,122,131,18,37,323,87
Jul 2023,1363,204,17,208,1989,383,515,391,127,128,26,35,329,99
Jun 2023,1533,176,15,187,1817,404,444,355,94,108,26,32,356,54
May 2023,1416,188,25,140,2128,436,514,313,130,98,17,37,366,80
Apr 2023,1336,177,18,155,1825,385,474,346,125,102,20,27,338,91
Mar 2023,1187,221,15,140,2114,416,409,350,126,80,30,44,419,85
Feb 2023,1108,198,19,153,1747,388,421,326,99,94,17,38,324,81
Jan 2023,1076,219,15,168,1916,344,413,376,124,80,22,54,363,89
Dec 2022,940,188,12,129,1959,227,384,346,118,69,29,26,318,57
Nov 2022,1121,169,22,131,1937,290,432,344,132,84,15,36,426,108
Oct 2022,1205,193,25,150,2140,286,483,351,130,67,22,34,448,83
Sep 2022,1215,195,18,153,1900,256,483,359,91,116,20,43,472,60
