mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1129,209,67,343,2316,359,444,392,182,53,22,70,284,129
Jul 2023,1067,224,58,375,2439,385,459,467,158,52,23,69,372,161
Jun 2023,1163,261,65,293,2546,414,457,407,162,61,27,67,376,187
May 2023,1060,265,72,353,2575,452,505,442,165,35,31,100,366,138
Apr 2023,1018,283,73,349,2368,343,495,433,207,37,26,77,346,103
Mar 2023,888,299,73,402,2560,384,523,461,198,40,28,79,356,176
Feb 2023,760,287,62,340,2379,360,453,456,135,48,27,82,325,151
Jan 2023,721,273,76,356,2482,380,482,386,151,37,22,70,325,161
Dec 2022,666,242,66,328,2227,279,415,491,160,28,32,63,296,121
Nov 2022,754,254,54,326,2652,286,433,469,153,29,39,75,343,145
Oct 2022,848,308,97,397,2701,340,498,429,180,69,28,91,410,142
Sep 2022,1023,287,71,382,2515,294,550,414,223,47,39,75,422,145
