mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,4238,599,111,843,5003,1414,1641,1136,298,96,102,145,1192,301
Jul 2023,4054,544,89,703,4935,1357,1485,957,303,122,89,117,1115,270
Jun 2023,4215,487,115,634,5427,1230,1578,1098,256,141,122,127,1424,324
May 2023,4104,498,100,689,5699,1310,1580,1105,331,134,137,151,1523,325
Apr 2023,3747,453,86,683,5159,1309,1625,1049,254,110,114,120,1384,295
Mar 2023,3322,528,118,825,5358,1435,1607,1097,297,120,85,131,1326,336
Feb 2023,3125,546,91,926,4969,1220,1601,1003,259,115,108,125,1211,322
Jan 2023,2647,486,87,1005,4797,986,1471,1115,259,91,96,96,1066,300
Dec 2022,0,454,71,763,4374,741,1316,1002,213,79,81,103,975,284
Nov 2022,3043,480,78,804,4882,908,1638,1116,241,140,109,101,1172,306
Oct 2022,3810,592,65,928,5054,956,1797,1055,240,189,106,120,1228,265
Sep 2022,3355,571,89,974,4705,775,1585,1081,255,208,109,100,1154,254
