mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,2074,367,56,612,4169,1241,1096,790,225,196,83,87,1404,214
Jul 2023,1921,326,45,529,3757,1128,965,749,208,218,77,72,1181,198
Jun 2023,2339,304,45,449,4153,1028,1034,707,221,149,86,66,1407,176
May 2023,2282,341,37,525,4007,1014,1042,732,248,180,93,81,1369,204
Apr 2023,1907,306,38,550,3724,910,1027,649,273,125,66,73,1225,178
Mar 2023,1694,295,36,586,3989,1020,1017,760,263,168,70,71,1181,215
Feb 2023,1692,288,50,587,3584,797,955,631,199,140,70,68,1107,186
Jan 2023,1543,344,31,605,3569,888,884,642,258,96,70,61,992,204
Dec 2022,1331,338,33,602,3242,681,840,676,264,136,70,52,871,172
Nov 2022,1569,351,29,554,3675,771,1011,714,336,144,73,67,1089,198
Oct 2022,1892,358,52,637,4003,781,1032,710,290,204,88,74,1311,204
Sep 2022,1761,353,48,552,3697,707,962,665,271,151,85,85,1303,200
