mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,2376,990,207,967,4889,1246,1313,1003,417,92,76,187,1309,379
Jul 2023,2146,1037,188,1094,5114,1280,1310,1042,424,85,110,175,1331,448
Jun 2023,2408,975,181,1015,5266,1039,1322,960,405,84,60,184,1410,491
May 2023,2567,1033,157,1002,5667,1081,1464,992,415,116,73,196,1656,506
Apr 2023,2229,950,144,1001,5123,1303,1394,944,391,69,98,201,1461,450
Mar 2023,2010,882,194,1261,5369,1096,1399,985,413,62,104,188,1559,484
Feb 2023,1856,944,168,886,4737,1045,1407,910,337,57,73,149,1220,409
Jan 2023,1731,1002,156,1105,5116,983,1409,966,361,40,108,147,1171,475
Dec 2022,1531,1079,155,1106,5102,902,1526,1124,412,58,118,169,1305,412
Nov 2022,1820,1065,153,1096,4896,673,1466,881,364,46,90,149,1365,414
Oct 2022,2093,1002,176,1400,5382,859,1604,1047,326,96,83,181,1465,380
Sep 2022,1845,938,173,1252,5092,833,1433,1039,318,128,86,152,1509,441
