mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1377,349,82,474,3472,520,681,631,126,92,32,77,703,108
Jul 2023,1378,337,62,393,3561,470,655,558,121,72,26,68,560,106
Jun 2023,1436,433,101,402,4400,569,847,685,124,108,40,100,844,159
May 2023,1528,354,58,472,3378,396,649,582,116,101,36,77,568,138
Apr 2023,1308,354,86,493,3740,425,736,575,144,56,22,73,665,153
Mar 2023,1220,375,80,531,4149,553,707,667,165,77,43,94,869,209
Feb 2023,1121,345,84,425,3566,513,648,564,87,80,41,55,713,152
Jan 2023,952,371,60,533,3972,483,706,587,167,75,32,92,757,221
Dec 2022,840,355,50,567,3424,396,638,664,100,59,36,67,644,157
Nov 2022,1045,379,76,621,3995,424,747,663,145,57,34,72,791,193
Oct 2022,1794,311,72,534,3350,474,722,674,143,81,44,62,586,166
Sep 2022,1826,349,76,545,3901,516,719,790,147,110,44,124,736,285
