mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,795,138,16,203,1734,303,455,311,100,54,33,66,366,98
Jul 2023,878,158,25,146,1951,339,434,324,105,48,24,45,353,139
Jun 2023,803,144,18,118,1864,280,430,318,114,65,27,47,324,106
May 2023,689,180,22,113,1779,298,425,265,118,51,22,51,365,113
Apr 2023,685,166,21,145,1819,313,496,297,105,42,21,62,339,101
Mar 2023,662,169,17,193,2016,308,449,341,95,44,34,46,397,151
Feb 2023,561,149,16,205,1801,303,381,276,107,38,32,55,338,94
Jan 2023,489,169,18,207,1886,287,359,270,125,24,30,49,335,102
Dec 2022,423,134,22,148,1831,223,339,297,93,35,43,49,374,93
Nov 2022,555,167,25,179,2138,283,423,314,118,63,24,53,380,116
Oct 2022,595,161,24,193,2198,289,405,347,116,61,43,48,485,120
Sep 2022,642,133,15,158,2005,221,397,302,113,61,29,42,461,102
