mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1236,71,33,609,2349,471,553,564,165,75,30,70,637,117
Jul 2023,1316,70,30,460,2635,415,591,585,247,90,31,70,745,128
Jun 2023,1384,86,32,555,2517,399,653,565,217,90,34,54,788,160
May 2023,1491,72,43,459,2392,399,648,610,169,61,47,41,708,111
Apr 2023,1346,78,40,475,2326,354,570,535,177,88,46,54,694,120
Mar 2023,1074,344,54,608,2350,400,616,580,179,71,42,57,707,140
Feb 2023,882,366,33,623,2280,423,644,537,139,70,34,46,631,150
Jan 2023,983,350,35,571,2341,340,613,591,163,69,38,51,641,156
Dec 2022,982,335,34,470,2212,270,554,610,171,48,48,49,533,124
Nov 2022,1152,383,44,722,2370,310,631,605,168,80,62,37,626,141
Oct 2022,1353,339,45,573,2465,338,643,600,331,111,42,48,688,135
Sep 2022,1296,291,30,564,2198,267,552,547,144,120,37,43,649,125
