mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,2379,463,120,707,4689,1944,1208,964,433,165,126,220,1170,225
Jul 2023,2222,579,108,902,5126,2346,1538,1397,331,279,140,261,1466,253
Jun 2023,2093,372,60,475,4577,1086,941,728,350,137,82,216,1137,237
May 2023,1968,469,78,520,4717,1269,1194,998,404,149,80,214,1325,225
Feb 2023,1332,383,74,615,4098,1112,1111,822,271,102,99,180,1005,227
Jan 2023,1192,515,108,598,4350,1185,1136,861,300,106,73,190,1009,276
Dec 2022,1036,396,65,660,3888,807,968,892,286,89,99,152,880,200
Nov 2022,1222,431,75,840,4280,1065,1139,1028,277,221,90,148,1162,208
Oct 2022,1556,440,91,843,4552,1303,1270,1098,248,351,105,208,1325,250
Sep 2022,1599,400,79,666,4253,1071,1058,1004,255,221,107,137,1369,170
Aug 2022,2256,402,81,597,4786,853,1189,955,302,183,92,184,1510,197
Jul 2022,2232,412,69,535,4410,767,1113,890,255,233,87,161,1433,223
