mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1680,650,132,1290,6388,1410,1435,1516,471,269,254,146,1332,227
Jul 2023,1832,647,101,1218,6899,1436,1392,1536,470,328,311,183,1355,281
Jun 2023,1918,533,121,1199,7087,1199,1390,1396,417,333,258,167,1507,318
May 2023,1829,671,130,1268,7351,1177,1437,1467,505,365,287,153,1738,321
Apr 2023,1619,709,114,1412,6390,1139,1368,1407,404,241,286,153,1483,276
Mar 2023,1219,760,113,1585,7497,1202,1450,1505,397,259,264,120,1482,370
Feb 2023,1254,702,107,1346,6486,1115,1337,1385,381,301,299,119,1440,327
Jan 2023,1075,824,104,1479,6689,1051,1322,1475,420,332,293,128,1385,316
Dec 2022,940,767,103,1279,6168,828,1167,1456,395,196,344,114,1472,260
Nov 2022,1300,787,121,1397,6785,916,1436,1480,447,312,332,107,1787,305
Oct 2022,1686,769,159,1540,6988,1015,1528,1523,483,417,350,141,1830,261
Sep 2022,1617,698,98,1313,6650,875,1392,1448,304,473,271,96,1778,248
