mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,793,188,42,331,1363,194,298,278,100,37,20,61,282,70
Jul 2023,674,191,46,412,1465,231,371,307,98,53,34,70,295,85
Jun 2023,746,172,32,328,1578,228,356,279,77,100,30,71,307,102
May 2023,778,172,33,342,1419,223,312,323,95,36,31,58,304,96
Apr 2023,734,218,27,363,1367,210,302,247,80,36,30,52,303,65
Mar 2023,651,205,30,350,1579,251,325,310,87,20,33,89,285,100
Feb 2023,684,191,41,359,1423,282,282,294,97,21,22,49,268,88
Jan 2023,610,241,31,496,1388,221,289,304,100,30,21,44,255,111
Dec 2022,546,186,27,313,1348,198,323,311,69,15,22,34,223,52
Nov 2022,667,201,29,411,1499,198,307,339,78,30,18,59,284,84
Oct 2022,786,221,27,483,1508,226,337,356,101,58,26,62,331,70
Sep 2022,783,176,22,447,1433,178,324,340,74,67,19,37,318,80
