mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1765,427,63,445,3184,913,795,654,204,97,27,95,697,146
Jul 2023,1533,409,62,417,3389,858,684,695,211,63,30,111,724,169
Jun 2023,1612,393,54,383,3411,925,691,710,176,78,48,78,756,142
May 2023,1727,436,55,402,3520,906,731,671,188,71,44,114,781,163
Apr 2023,1503,423,46,395,3366,825,761,669,160,54,27,96,804,189
Mar 2023,1625,395,62,345,3494,759,694,722,190,43,38,91,795,169
Feb 2023,1546,404,71,451,3205,804,651,620,173,64,28,77,657,166
Jan 2023,1575,437,45,360,3487,741,715,673,164,63,41,92,749,190
Dec 2022,1347,444,42,343,3334,589,691,752,149,53,44,83,670,152
Nov 2022,1479,458,52,448,3663,614,745,724,182,64,42,98,767,165
Oct 2022,1756,496,52,494,3851,661,758,721,208,93,31,93,905,180
Sep 2022,1923,484,89,420,3881,611,780,726,158,94,46,89,913,167
