mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,2891,1727,633,2697,11497,2153,2270,2074,640,200,271,512,1950,443
Jul 2023,2479,1528,712,2843,12781,2205,2423,2187,689,218,316,576,2105,539
Jun 2023,2679,1456,783,2692,12977,1993,2367,2045,635,216,303,666,2156,553
May 2023,2040,1509,761,2866,12723,1740,2377,2080,665,204,359,598,2104,563
Apr 2023,1953,1551,770,3291,12700,1827,2379,2170,585,152,339,563,2470,539
Mar 2023,1455,1810,753,3312,13189,2133,2421,2273,698,153,431,607,2663,554
Feb 2023,1279,1624,674,3298,12263,1689,2126,1930,643,134,349,619,2308,541
Jan 2023,1177,1890,781,3320,13025,1712,2277,2093,727,126,345,570,2323,571
Dec 2022,1231,1905,623,3241,12268,1328,2083,2355,594,109,379,500,2271,456
Nov 2022,1410,1861,667,3416,12849,1289,2358,2223,650,195,441,553,2558,494
Oct 2022,1772,1901,766,3420,13493,1445,2520,2309,688,285,465,647,2734,513
Sep 2022,1496,1899,689,3190,13151,1383,2387,2198,660,262,333,616,2882,551
