mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,2666,1408,243,1478,10819,2076,2227,1845,778,176,291,232,2865,694
Jul 2023,2576,1254,288,1484,11864,1931,2185,1884,748,144,238,259,2943,722
Jun 2023,2729,1188,263,1425,12147,1835,2294,1832,751,177,278,226,3196,824
May 2023,3098,1302,272,1448,12759,1737,2440,1928,761,194,331,225,3655,786
Apr 2023,2590,1349,306,1488,11487,1711,2432,1833,748,193,269,209,3441,785
Mar 2023,1982,1412,258,1428,12391,1937,2371,1943,740,157,316,248,3284,842
Feb 2023,1736,1300,282,1345,11465,1876,2265,1718,730,158,302,232,2988,743
Jan 2023,1522,1416,273,1430,12012,1767,2189,1909,730,162,226,189,2829,788
Dec 2022,1164,1199,259,1193,10809,1309,2009,1888,739,138,277,186,2778,653
Nov 2022,1881,1317,258,1569,11733,1444,2273,1844,788,207,319,281,3123,788
Oct 2022,2437,1190,277,1772,11823,1515,2484,1883,815,256,303,249,3452,732
Sep 2022,2425,1130,244,1650,11669,1500,2251,1793,702,202,304,225,3749,602
