mesec,antisocialno vedenje,vlom,rop,vozniški prekrški,nasilje,kraja v trgovini,požig ali poškodovanje lastnine,ostale kraje,prekrški povezani z drogami,preostali prekrški,kraja kolesa,posedovanje orožja,motenje javnega miru,oropanje osebe
Aug 2023,1037,124,23,186,1433,365,418,284,104,54,30,31,322,65
Jul 2023,1113,150,26,160,1529,436,422,256,84,64,28,48,324,73
Jun 2023,1106,134,33,150,1433,252,389,203,52,66,26,33,292,62
May 2023,1127,151,24,129,1598,387,362,262,95,63,19,33,361,75
Apr 2023,1047,142,24,168,1441,364,405,282,79,39,27,32,330,74
Mar 2023,949,166,29,195,1676,396,384,282,80,53,27,50,306,71
Feb 2023,927,152,24,159,1468,321,393,223,75,48,28,24,302,75
Jan 2023,758,170,23,227,1518,328,388,227,88,41,26,28,293,95
Dec 2022,820,124,21,186,1457,254,353,257,77,34,36,32,254,80
Nov 2022,926,191,26,198,1629,330,397,264,105,49,21,32,316,103
Oct 2022,1198,192,32,237,1598,302,402,295,92,71,34,31,355,99
Sep 2022,1124,153,26,205,1598,238,431,258,106,79,28,36,352,82
